lat,long
12.625,75.125
12.625,75.375
12.625,75.625
12.625,75.875
12.625,76.125
12.625,76.375
12.625,76.625
12.875,75.125
12.875,75.375
12.875,75.625
12.875,75.875
12.875,76.125
12.875,76.375
12.875,76.625
13.125,75.125
13.125,75.375
13.125,75.625
13.125,75.875
13.125,76.125
13.125,76.375
13.125,76.625
13.375,75.125
13.375,75.375
13.375,75.675
13.375,75.875
13.375,76.125
13.375,76.375
13.375,76.625
13.625,75.125
13.625,75.375
13.625,75.625
13.625,75.875
13.625,76.125
13.625,76.375
13.625,76.625
13.875,75.125
13.875,75.375
13.875,75.625
13.875,75.875
13.875,76.125
13.875,76.375
13.875,76.625
14.125,75.125
14.125,75.375
14.125,75.625
14.125,75.875
14.125,76.125
14.125,76.375
14.125,76.625
14.375,75.125
14.375,75.375
14.375,75.625
14.375,75.875
14.375,76.125
14.375,76.375
14.375,76.625
14.625,75.125
14.625,75.375
14.625,75.625
14.625,75.875
14.625,76.125
14.625,76.375
14.625,76.625
14.875,75.125
14.875,75.375
14.875,75.625
14.875,75.875
14.875,76.125
14.875,76.375
14.875,76.625
15.125,75.125
15.125,75.375
15.125,75.625
15.125,75.875
15.125,76.125
15.125,76.375
15.125,76.675
15.375,75.125
15.375,75.375
15.375,75.626
15.375,75.875
15.375,76.125
15.375,76.375
15.375,76.625
